a = 8, b = 5, n = 4000, Motif_Counting_second_paper = 51.0% (107sec), Expansion_algorithm = 51.0% (23sec), Spectral_k_means = 76.0% (37sec), 
a = 9, b = 5, n = 4000, Motif_Counting_second_paper = 50.0% (120sec), Expansion_algorithm = 52.0% (32sec), Spectral_k_means = 70.0% (38sec), 
a = 10, b = 5, n = 4000, Motif_Counting_second_paper = 82.0% (134sec), Expansion_algorithm = 52.0% (43sec), Spectral_k_means = 80.0% (36sec), 
a = 11, b = 5, n = 4000, Motif_Counting_second_paper = 87.0% (153sec), Expansion_algorithm = 55.0% (64sec), Spectral_k_means = 80.0% (36sec), 
a = 12, b = 5, n = 4000, Motif_Counting_second_paper = 90.0% (162sec), Expansion_algorithm = 60.0% (110sec), Spectral_k_means = 81.0% (40sec), 
a = 13, b = 5, n = 4000, Motif_Counting_second_paper = 90.0% (176sec), Expansion_algorithm = 78.0% (186sec), Spectral_k_means = 89.0% (37sec), 
a = 14, b = 5, n = 4000, Motif_Counting_second_paper = 95.0% (193sec), Expansion_algorithm = 97.0% (122sec), Spectral_k_means = 89.0% (39sec), 
a = 15, b = 5, n = 4000, Motif_Counting_second_paper = 100.0% (214sec), Expansion_algorithm = 99.0% (95sec), Spectral_k_means = 91.0% (40sec), 
a = 16, b = 5, n = 4000, Motif_Counting_second_paper = 100.0% (228sec), Expansion_algorithm = 100.0% (91sec), Spectral_k_means = 95.0% (39sec), 
a = 17, b = 5, n = 4000, Motif_Counting_second_paper = 100.0% (248sec), Expansion_algorithm = 100.0% (91sec), Spectral_k_means = 97.0% (39sec), 
a = 18, b = 5, n = 4000, Motif_Counting_second_paper = 100.0% (264sec), Expansion_algorithm = 100.0% (98sec), Spectral_k_means = 95.0% (40sec), 
a = 19, b = 5, n = 4000, Motif_Counting_second_paper = 100.0% (284sec), Expansion_algorithm = 100.0% (106sec), Spectral_k_means = 95.0% (43sec), 
a = 20, b = 5, n = 4000, Motif_Counting_second_paper = 100.0% (308sec), Expansion_algorithm = 100.0% (116sec), Spectral_k_means = 98.0% (44sec), 
a = 10, b = 10, n = 4000, Motif_Counting_second_paper = 51.0% (228sec), Expansion_algorithm = 51.0% (33sec), Spectral_k_means = 50.0% (33sec), 
a = 11, b = 10, n = 4000, Motif_Counting_second_paper = 51.0% (248sec), Expansion_algorithm = 51.0% (36sec), Spectral_k_means = 52.0% (54sec), 
a = 12, b = 10, n = 4000, Motif_Counting_second_paper = 51.0% (269sec), Expansion_algorithm = 51.0% (39sec), Spectral_k_means = 54.0% (144sec), 
a = 13, b = 10, n = 4000, Motif_Counting_second_paper = 51.0% (288sec), Expansion_algorithm = 51.0% (42sec), Spectral_k_means = 77.0% (97sec), 
a = 14, b = 10, n = 4000, Motif_Counting_second_paper = 51.0% (308sec), Expansion_algorithm = 51.0% (47sec), Spectral_k_means = 96.0% (54sec), 
a = 15, b = 10, n = 4000, Motif_Counting_second_paper = 51.0% (332sec), Expansion_algorithm = 51.0% (57sec), Spectral_k_means = 97.0% (43sec), 
a = 16, b = 10, n = 4000, Motif_Counting_second_paper = 86.0% (357sec), Expansion_algorithm = 53.0% (85sec), Spectral_k_means = 98.0% (47sec), 
a = 17, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (369sec), Expansion_algorithm = 54.0% (107sec), Spectral_k_means = 95.0% (47sec), 
a = 18, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (390sec), Expansion_algorithm = 58.0% (148sec), Spectral_k_means = 99.0% (49sec), 
a = 19, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (409sec), Expansion_algorithm = 61.0% (205sec), Spectral_k_means = 95.0% (50sec), 
a = 20, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (429sec), Expansion_algorithm = 69.0% (331sec), Spectral_k_means = 99.0% (50sec), 
a = 21, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (454sec), Expansion_algorithm = 92.0% (364sec), Spectral_k_means = 100.0% (52sec), 
a = 22, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (477sec), Expansion_algorithm = 99.0% (228sec), Spectral_k_means = 100.0% (57sec), 
a = 23, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (506sec), Expansion_algorithm = 100.0% (195sec), Spectral_k_means = 100.0% (58sec), 
a = 24, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (536sec), Expansion_algorithm = 100.0% (131sec), Spectral_k_means = 100.0% (60sec), 
a = 25, b = 10, n = 4000, Motif_Counting_second_paper = 100.0% (571sec), Expansion_algorithm = 100.0% (139sec), Spectral_k_means = 100.0% (59sec), 
a = 20, b = 20, n = 4000, Motif_Counting_second_paper = 51.0% (867sec), Expansion_algorithm = 51.0% (83sec), Spectral_k_means = 51.0% (114sec), 
a = 21, b = 20, n = 4000, Motif_Counting_second_paper = 51.0% (915sec), Expansion_algorithm = 50.0% (88sec), Spectral_k_means = 51.0% (201sec), 
a = 22, b = 20, n = 4000, Motif_Counting_second_paper = 50.0% (926sec), Expansion_algorithm = 51.0% (89sec), Spectral_k_means = 51.0% (212sec), 
a = 23, b = 20, n = 4000, Motif_Counting_second_paper = 51.0% (960sec), Expansion_algorithm = 51.0% (93sec), Spectral_k_means = 53.0% (224sec), 
a = 24, b = 20, n = 4000, Motif_Counting_second_paper = 51.0% (999sec), Expansion_algorithm = 51.0% (95sec), Spectral_k_means = 66.0% (232sec), 
a = 25, b = 20, n = 4000, Motif_Counting_second_paper = 51.0% (1043sec), Expansion_algorithm = 51.0% (111sec), Spectral_k_means = 100.0% (77sec), 
a = 26, b = 20, n = 4000, Motif_Counting_second_paper = 51.0% (1082sec), Expansion_algorithm = 51.0% (121sec), Spectral_k_means = 100.0% (80sec), 
